beneficiary_id,scheme,district,bank_account,transaction_date,amount,is_fraud
BEN01410,Widow Pension,District A,ACC5578929439,2024-12-30,2507.17,0
BEN01635,Disability Pension,District A,ACC4786674545,2024-12-30,3005.42,0
BEN00641,Scholarship,District B,ACC7757700186,2024-12-30,4985.96,0
BEN01634,Old Age Pension,District D,ACC8906163641,2024-12-30,2001.13,0
BEN00639,Widow Pension,District D,ACC8997701619,2024-12-30,2496.29,0
BEN00239,Widow Pension,District A,ACC6474354351,2024-12-30,2487.92,0
BEN00637,Disability Pension,District B,ACC5375461598,2024-12-30,2996.84,0
BEN01910,Widow Pension,District C,ACC6959501845,2024-12-30,2496.27,0
BEN01066,Old Age Pension,District C,ACC3128675098,2024-12-30,2002.59,0
BEN00635,Scholarship,District E,ACC5604529187,2024-12-30,4999.65,0
BEN01073,Disability Pension,District E,ACC4647891535,2024-12-30,2993.09,0
BEN00237,Scholarship,District D,ACC7533932947,2024-12-30,4995.22,0
BEN00633,Old Age Pension,District B,ACC4022245086,2024-12-30,2003.72,0
BEN01914,Widow Pension,District A,ACC9032096058,2024-12-30,2495.99,0
BEN01915,Scholarship,District A,ACC4564751926,2024-12-30,4997.18,0
BEN00346,Disability Pension,District A,ACC7186766399,2024-12-30,2987.68,0
BEN00032,Widow Pension,District C,ACC6488854841,2024-12-30,2491.72,0
BEN00236,Scholarship,District B,ACC8033702319,2024-12-30,5006.09,0
BEN01625,Disability Pension,District E,ACC2914590233,2024-12-30,3003.45,0
BEN01917,Scholarship,District A,ACC3591527330,2024-12-30,5001.48,0
BEN01622,Scholarship,District A,ACC6089026099,2024-12-30,4996.2,0
BEN01086,Old Age Pension,District E,ACC1818112342,2024-12-30,2001.8,0
BEN01919,Old Age Pension,District C,ACC6558450990,2024-12-30,2004.25,0
BEN00347,Widow Pension,District A,ACC5515628633,2024-12-30,2501.04,0
BEN01087,Widow Pension,District D,ACC6448001026,2024-12-30,2496.79,0
BEN00622,Disability Pension,District C,ACC5783809766,2024-12-30,2997.79,0
BEN01921,Old Age Pension,District E,ACC3206955437,2024-12-30,1993.67,0
BEN00348,Widow Pension,District D,ACC3051831252,2024-12-30,2503.95,0
BEN01618,Scholarship,District A,ACC7002076563,2024-12-30,348477.72,1
BEN00621,Scholarship,District A,ACC2173242669,2024-12-30,4996.87,0
BEN00343,Scholarship,District A,ACC4748302739,2024-12-30,5002.15,0
BEN00232,Widow Pension,District E,ACC7462972995,2024-12-30,2505.49,0
BEN01636,Old Age Pension,District B,ACC7340498236,2024-12-30,2001.59,0
BEN00645,Old Age Pension,District C,ACC7949795085,2024-12-30,1993.95,0
BEN00255,Disability Pension,District D,ACC6805759868,2024-12-30,2998.66,0
BEN01672,Widow Pension,District E,ACC8833889083,2024-12-30,2506.07,0
BEN01005,Old Age Pension,District E,ACC5802739154,2024-12-30,2007.08,0
BEN00672,Scholarship,District B,ACC8867077130,2024-12-30,5008.9,0
BEN00668,Old Age Pension,District C,ACC3178995337,2024-12-30,1992.78,0
BEN00250,Scholarship,District D,ACC7625464411,2024-12-30,5007.05,0
BEN00666,Scholarship,District E,ACC5588254555,2024-12-30,4999.16,0
BEN01659,Widow Pension,District D,ACC8274219704,2024-12-30,2499.92,0
BEN01658,Old Age Pension,District A,ACC6477862024,2024-12-30,1999.81,0
BEN00037,Old Age Pension,District C,ACC5996775663,2024-12-30,1999.99,0
BEN00338,Widow Pension,District C,ACC3294092753,2024-12-30,2500.82,0
BEN01655,Disability Pension,District C,ACC7059726570,2024-12-30,2995.41,0
BEN01029,Old Age Pension,District C,ACC3483827971,2024-12-30,1999.93,0
BEN00248,Old Age Pension,District E,ACC5570828113,2024-12-30,2008.06,0
BEN01033,Scholarship,District E,ACC9305502799,2024-12-30,5002.5,0
BEN00247,Old Age Pension,District B,ACC4034047118,2024-12-30,1990.32,0
BEN01652,Scholarship,District E,ACC2780016559,2024-12-30,4994.66,0
BEN01035,Scholarship,District D,ACC2756070122,2024-12-30,4993.38,0
BEN00655,Old Age Pension,District A,ACC6795522649,2024-12-30,2004.15,0
BEN01651,Scholarship,District A,ACC2802141793,2024-12-30,4998.73,0
BEN00096,Scholarship,District C,ACC7146318035,2024-12-30,4995.23,0
BEN01641,Old Age Pension,District C,ACC5227828349,2024-12-30,2010.14,0
BEN01052,Disability Pension,District D,ACC1484664056,2024-12-30,2997.74,0
BEN00649,Old Age Pension,District C,ACC6340003593,2024-12-30,1994.74,0
BEN01640,Widow Pension,District B,ACC8547068234,2024-12-30,2509.92,0
BEN01902,Old Age Pension,District C,ACC4605117440,2024-12-30,1996.85,0
BEN00646,Old Age Pension,District B,ACC9245348297,2024-12-30,2002.19,0
BEN01638,Old Age Pension,District E,ACC4067919621,2024-12-30,1996.41,0
BEN00242,Widow Pension,District B,ACC6461974809,2024-12-30,2500.21,0
BEN01055,Old Age Pension,District B,ACC5439176290,2024-12-30,2004.1,0
BEN01094,Scholarship,District B,ACC5025070544,2024-12-30,5000.83,0
BEN00619,Disability Pension,District A,ACC8137972345,2024-12-30,2997.86,0
BEN01098,Scholarship,District D,ACC8625774078,2024-12-30,4989.98,0
BEN00110,Widow Pension,District B,ACC4645120421,2024-12-30,2499.29,0
BEN01128,Scholarship,District E,ACC3095318649,2024-12-30,5008.73,0
BEN01594,Widow Pension,District C,ACC2266622851,2024-12-30,2503.63,0
BEN01130,Scholarship,District C,ACC7664258343,2024-12-30,5001.34,0
BEN00589,Old Age Pension,District A,ACC5819946657,2024-12-30,2009.33,0
BEN00111,Disability Pension,District C,ACC2367255718,2024-12-30,2998.52,1
BEN00356,Scholarship,District A,ACC7539399243,2024-12-30,5000.56,0
BEN00112,Widow Pension,District B,ACC7380780055,2024-12-30,2495.04,0
BEN00583,Scholarship,District D,ACC1288335378,2024-12-30,4994.91,0
BEN01142,Widow Pension,District A,ACC6265016831,2024-12-30,2506.34,0
BEN01144,Widow Pension,District E,ACC4262396395,2024-12-30,2504.03,0
BEN01146,Disability Pension,District D,ACC6923893872,2024-12-30,2998.2,0
BEN00578,Scholarship,District C,ACC7242730249,2024-12-30,5004.39,0
BEN01148,Disability Pension,District C,ACC9830946410,2024-12-30,2994.77,0
BEN01950,Widow Pension,District D,ACC5072538783,2024-12-30,2500.1,0
BEN00359,Disability Pension,District A,ACC3667292043,2024-12-30,2996.71,0
BEN00218,Widow Pension,District A,ACC1855256552,2024-12-30,2498.38,0
BEN00573,Scholarship,District C,ACC7573691558,2024-12-30,4993.34,0
BEN01152,Widow Pension,District D,ACC1182758417,2024-12-30,2506.78,0
BEN00572,Old Age Pension,District D,ACC6691628146,2024-12-30,2005.33,0
BEN01578,Scholarship,District A,ACC6317152031,2024-12-30,5004.08,0
BEN01154,Widow Pension,District D,ACC9909257076,2024-12-30,2502.49,0
BEN00570,Scholarship,District B,ACC3612617557,2024-12-30,4995.48,0
BEN01577,Scholarship,District C,ACC4201225242,2024-12-30,4994.01,0
BEN00360,Widow Pension,District A,ACC4178659381,2024-12-30,2501.25,0
BEN01157,Old Age Pension,District C,ACC2350701477,2024-12-30,2002.17,0
BEN01158,Widow Pension,District B,ACC5129478722,2024-12-30,2502.97,0
BEN00216,Widow Pension,District E,ACC4226113732,2024-12-30,2494.68,0
BEN00567,Widow Pension,District B,ACC3946766309,2024-12-30,2497.4,0
BEN00592,Old Age Pension,District E,ACC9454207717,2024-12-30,1999.65,0
BEN01595,Widow Pension,District D,ACC6663846005,2024-12-30,2493.16,0
BEN01127,Scholarship,District B,ACC2602884797,2024-12-30,4993.21,0
BEN01596,Widow Pension,District D,ACC5087357728,2024-12-30,2494.35,0
BEN00617,Widow Pension,District E,ACC3894673596,2024-12-30,2504.28,0
BEN01926,Old Age Pension,District C,ACC2095286033,2024-12-30,1999.97,0
BEN01927,Disability Pension,District C,ACC6714723660,2024-12-30,2997.5,0
BEN01105,Widow Pension,District E,ACC6887132821,2024-12-30,2504.85,0
BEN01106,Old Age Pension,District E,ACC2777816561,2024-12-30,1998.03,0
BEN00029,Widow Pension,District C,ACC4026113008,2024-12-30,2497.48,0
BEN00611,Scholarship,District A,ACC7098134112,2024-12-30,5002.96,0
BEN01929,Disability Pension,District B,ACC8137764127,2024-12-30,2996.86,0
BEN00610,Old Age Pension,District E,ACC6218955985,2024-12-30,1995.71,0
BEN01107,Scholarship,District A,ACC1626733282,2024-12-30,4996.32,0
BEN00229,Old Age Pension,District D,ACC8737025391,2024-12-30,1991.04,0
BEN00608,Widow Pension,District A,ACC2721355673,2024-12-30,2502.25,0
BEN01609,Disability Pension,District B,ACC8902114913,2024-12-30,3003.46,0
BEN01109,Disability Pension,District C,ACC1654602021,2024-12-30,3003.31,0
BEN00256,Disability Pension,District E,ACC8531118333,2024-12-30,3001.99,0
BEN01932,Old Age Pension,District B,ACC7601519165,2024-12-30,2006.46,0
BEN01605,Disability Pension,District C,ACC6110943464,2024-12-30,3006.48,0
BEN00227,Scholarship,District A,ACC4643576871,2024-12-30,5000.4,0
BEN01604,Widow Pension,District B,ACC5729866281,2024-12-30,2502.4,0
BEN00353,Widow Pension,District B,ACC2304963614,2024-12-30,2509.79,0
BEN01935,Widow Pension,District A,ACC6844582171,2024-12-30,2506.11,0
BEN01603,Old Age Pension,District B,ACC1674755608,2024-12-30,1996.12,0
BEN01601,Disability Pension,District C,ACC5428082088,2024-12-30,2996.62,0
BEN00598,Widow Pension,District E,ACC2578662692,2024-12-30,2510.98,0
BEN00109,Disability Pension,District E,ACC5161807235,2024-12-30,3001.6,0
BEN00225,Scholarship,District C,ACC7519578899,2024-12-30,4997.05,0
BEN01599,Old Age Pension,District D,ACC4143852021,2024-12-30,2002.71,0
BEN01124,Scholarship,District B,ACC4037270171,2024-12-30,5002.18,0
BEN01597,Old Age Pension,District D,ACC5613655595,2024-12-30,1995.12,0
BEN01938,Scholarship,District B,ACC8168036130,2024-12-30,4997.99,0
BEN00028,Widow Pension,District B,ACC3479708607,2024-12-30,2498.17,0
BEN01159,Widow Pension,District E,ACC3521300895,2024-12-30,2499.99,0
BEN00996,Old Age Pension,District D,ACC2065354117,2024-12-30,2005.96,0
BEN00089,Scholarship,District D,ACC9894264595,2024-12-30,5002.26,0
BEN00843,Disability Pension,District E,ACC9471306442,2024-12-30,3000.13,0
BEN00294,Scholarship,District B,ACC2465576748,2024-12-30,4997.36,0
BEN00316,Disability Pension,District E,ACC1367704871,2024-12-30,3002.36,0
BEN01832,Widow Pension,District B,ACC7061419749,2024-12-30,2502.95,0
BEN00755,Scholarship,District D,ACC9508499533,2024-12-30,5009.18,0
BEN00845,Old Age Pension,District B,ACC7227593033,2024-12-30,2003.48,0
BEN00847,Scholarship,District A,ACC5150074940,2024-12-30,4998.63,0
BEN01770,Disability Pension,District C,ACC4538382315,2024-12-30,2995.33,0
BEN00752,Scholarship,District C,ACC3380064537,2024-12-30,5004.24,0
BEN00293,Scholarship,District A,ACC2591589823,2024-12-30,4996.44,0
BEN00051,Scholarship,District D,ACC7483366056,2024-12-30,5000.69,0
BEN01767,Old Age Pension,District B,ACC1553753599,2024-12-30,2003.01,0
BEN01835,Scholarship,District C,ACC3426709025,2024-12-30,5001.68,0
BEN01766,Scholarship,District D,ACC6773938304,2024-12-30,5009.63,0
BEN01764,Old Age Pension,District E,ACC3906611156,2024-12-30,2004.79,0
BEN01836,Scholarship,District B,ACC5704029171,2024-12-30,4995.14,0
BEN00068,Widow Pension,District A,ACC6687206971,2024-12-30,2501.07,0
BEN01837,Widow Pension,District A,ACC6362597344,2024-12-30,2491.25,0
BEN01759,Disability Pension,District E,ACC7027529118,2024-12-30,2996.61,0
BEN00745,Scholarship,District E,ACC9660523876,2024-12-30,5003.48,0
BEN00872,Scholarship,District A,ACC3605585995,2024-12-30,5000.1,0
BEN01755,Widow Pension,District B,ACC4283432667,2024-12-30,2511.55,0
BEN00876,Scholarship,District C,ACC3412273600,2024-12-30,5004.03,0
BEN00741,Scholarship,District A,ACC2293434554,2024-12-30,4996.97,0
BEN01751,Widow Pension,District A,ACC6054421752,2024-12-30,2496.04,0
BEN00878,Old Age Pension,District A,ACC3003484425,2024-12-30,2001.69,0
BEN01750,Widow Pension,District C,ACC7389111087,2024-12-30,2488.74,0
BEN00071,Scholarship,District B,ACC2320763135,2024-12-30,5010.12,0
BEN00880,Old Age Pension,District E,ACC2064803502,2024-12-30,2000.43,0
BEN01773,Widow Pension,District A,ACC5275521470,2024-12-30,2501.78,0
BEN01845,Disability Pension,District A,ACC9461708554,2024-12-30,3005.09,0
BEN01830,Scholarship,District C,ACC5856127658,2024-12-30,4991.62,0
BEN00838,Widow Pension,District D,ACC6623360831,2024-12-30,2504.27,0
BEN00786,Disability Pension,District B,ACC5633956194,2024-12-30,3003.15,0
BEN01813,Old Age Pension,District A,ACC4172006012,2024-12-30,1997.15,0
BEN01807,Old Age Pension,District E,ACC3197757742,2024-12-30,1997.01,0
BEN00776,Old Age Pension,District C,ACC6720572969,2024-12-30,2003.06,0
BEN00307,Scholarship,District A,ACC6922713963,2024-12-30,4992.73,0
BEN01817,Disability Pension,District D,ACC7965608188,2024-12-30,3003.37,0
BEN00798,Old Age Pension,District B,ACC5071218314,2024-12-30,2000.43,0
BEN01798,Disability Pension,District E,ACC8316205130,2024-12-30,2994.06,0
BEN00804,Scholarship,District C,ACC1149460439,2024-12-30,5003.37,0
BEN00807,Old Age Pension,District C,ACC3436297208,2024-12-30,111366.76,1
BEN00303,Scholarship,District D,ACC6447717367,2024-12-30,5001.5,0
BEN01793,Disability Pension,District C,ACC3841827734,2024-12-30,3002.34,0
BEN01821,Disability Pension,District E,ACC7016293621,2024-12-30,3012.86,0
BEN00813,Widow Pension,District E,ACC3464975279,2024-12-30,2507.31,0
BEN01788,Old Age Pension,District E,ACC2633177480,2024-12-30,2004.05,0
BEN00816,Old Age Pension,District A,ACC8084809436,2024-12-30,2002.54,0
BEN00821,Widow Pension,District E,ACC3109688769,2024-12-30,2504.14,0
BEN00823,Disability Pension,District A,ACC4662861038,2024-12-30,2997.86,0
BEN00765,Disability Pension,District A,ACC4485356009,2024-12-30,3002.1,0
BEN00825,Widow Pension,District E,ACC9868845806,2024-12-30,2496.31,0
BEN00827,Scholarship,District A,ACC9123207735,2024-12-30,4999.87,0
BEN00828,Disability Pension,District E,ACC4656572173,2024-12-30,3003.15,0
BEN01780,Scholarship,District D,ACC1725783958,2024-12-30,5002.73,0
BEN00053,Widow Pension,District C,ACC3694860228,2024-12-30,2506.49,0
BEN00829,Widow Pension,District B,ACC3738900744,2024-12-30,2494.73,0
BEN00832,Disability Pension,District A,ACC1596471620,2024-12-30,3001.41,0
BEN00064,Disability Pension,District A,ACC3615507143,2024-12-30,2992.93,0
BEN00834,Old Age Pension,District C,ACC5407856339,2024-12-30,2003.65,0
BEN00835,Widow Pension,District C,ACC6879428703,2024-12-30,2501.26,0
BEN00759,Disability Pension,District D,ACC3698343112,2024-12-30,3003.35,0
BEN00895,Widow Pension,District D,ACC4638577630,2024-12-30,2495.89,0
BEN00733,Widow Pension,District E,ACC1590985753,2024-12-30,2498.66,0
BEN00074,Old Age Pension,District E,ACC9957813353,2024-12-30,1994.52,0
BEN00701,Widow Pension,District B,ACC1590838716,2024-12-30,2496.14,0
BEN00329,Widow Pension,District E,ACC6458544482,2024-12-30,2503.01,0
BEN01702,Disability Pension,District E,ACC4914929023,2024-12-30,2999.15,0
BEN00954,Disability Pension,District E,ACC4067213499,2024-12-30,2993.12,0
BEN00697,Scholarship,District E,ACC2554039848,2024-12-30,5000.38,0
BEN01698,Old Age Pension,District B,ACC4681264539,2024-12-30,1998.31,0
BEN00961,Old Age Pension,District C,ACC3280805846,2024-12-30,1999.99,0
BEN00963,Disability Pension,District D,ACC1225447588,2024-12-30,3005.69,0
BEN00964,Disability Pension,District C,ACC7070083150,2024-12-30,2997.76,0
BEN00965,Old Age Pension,District E,ACC8375996697,2024-12-30,2000.5,0
BEN00966,Old Age Pension,District D,ACC4310415016,2024-12-30,2005.24,0
BEN01692,Widow Pension,District B,ACC6797174636,2024-12-30,2500.36,0
BEN01689,Widow Pension,District A,ACC6894699853,2024-12-30,2504.64,0
BEN00086,Scholarship,District A,ACC1983297492,2024-12-30,4997.81,0
BEN00688,Disability Pension,District B,ACC6515369278,2024-12-30,2997.62,0
BEN00332,Widow Pension,District C,ACC1795212538,2024-12-30,2500.17,0
BEN00687,Old Age Pension,District E,ACC8208584394,2024-12-30,2013.41,0
BEN00686,Scholarship,District B,ACC9995834531,2024-12-30,4997.49,0
BEN00685,Scholarship,District A,ACC5578056564,2024-12-30,4988.04,0
BEN00978,Widow Pension,District E,ACC9272277508,2024-12-30,2509.59,0
BEN00260,Old Age Pension,District C,ACC5419627962,2024-12-30,1996.38,0
BEN00984,Widow Pension,District A,ACC7305101214,2024-12-30,2499.91,0
BEN00986,Widow Pension,District A,ACC1799718923,2024-12-30,2499.58,0
BEN00040,Disability Pension,District B,ACC8235363119,2024-12-30,2992.95,0
BEN00987,Widow Pension,District A,ACC8458717057,2024-12-30,2504.72,0
BEN01883,Old Age Pension,District B,ACC6947080764,2024-12-30,76979.26,1
BEN00991,Widow Pension,District E,ACC8846861559,2024-12-30,2495.02,0
BEN00992,Scholarship,District A,ACC7508080884,2024-12-30,5008.54,0
BEN01678,Scholarship,District B,ACC1124331395,2024-12-30,5000.14,0
BEN00702,Old Age Pension,District A,ACC5626388820,2024-12-30,1996.63,0
BEN00952,Old Age Pension,District B,ACC4455798713,2024-12-30,2003.59,0
BEN01703,Disability Pension,District B,ACC3780439666,2024-12-30,3002.29,0
BEN00082,Old Age Pension,District E,ACC2452066459,2024-12-30,2002.08,0
BEN01734,Old Age Pension,District D,ACC1383539822,2024-12-30,2007.93,0
